,布偶猫,加菲猫,金渐层,英短蓝猫,英短蓝白,英国短毛猫,美国短毛猫,苏格兰折耳猫,银渐层,异国短毛猫,孟买猫,暹罗猫,孟加拉豹猫,缅因猫,金吉拉猫,无毛猫,高地折耳猫,曼基康矮脚猫,波斯猫,橘猫,阿比西尼亚猫
布偶猫,1.0,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.04,0.05,0.03,0.07,0.05,0.03,0.05,0.04,0.05,0.06
加菲猫,0.07,1.0,0.03,0.04,0.05,0.05,0.05,0.06,0.03,0.58,0.08,0.06,0.06,0.05,0.08,0.04,0.07,0.07,0.05,0.04,0.07
金渐层,0.04,0.04,1.0,0.19,0.22,0.21,0.05,0.04,0.14,0.06,0.07,0.04,0.02,0.01,0.04,0.04,0.07,0.05,0.04,0.05,0.06
英短蓝猫,0.04,0.07,0.2,1.0,0.22,0.31,0.07,0.08,0.13,0.07,0.07,0.05,0.05,0.05,0.04,0.05,0.07,0.06,0.06,0.04,0.06
英短蓝白,0.06,0.06,0.22,0.23,1.0,0.82,0.06,0.08,0.13,0.05,0.03,0.06,0.06,0.06,0.04,0.06,0.04,0.08,0.05,0.05,0.07
英国短毛猫,0.06,0.07,0.2,0.31,0.82,1.0,0.08,0.07,0.14,0.03,0.02,0.05,0.07,0.06,0.05,0.07,0.07,0.07,0.06,0.05,0.08
美国短毛猫,0.06,0.06,0.04,0.07,0.07,0.09,1.0,0.07,0.04,0.07,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.04,0.06
苏格兰折耳猫,0.07,0.07,0.05,0.07,0.07,0.06,0.07,1.0,0.05,0.06,0.08,0.05,0.06,0.05,0.08,0.06,0.09,0.1,0.05,0.05,0.06
银渐层,0.06,0.03,0.15,0.13,0.13,0.13,0.06,0.05,1.0,0.05,0.05,0.04,0.06,0.04,0.03,0.04,0.05,0.04,0.04,0.04,0.05
异国短毛猫,0.06,0.68,0.04,0.02,0.06,0.03,0.04,0.07,0.04,1.0,0.07,0.05,0.06,0.02,0.08,0.05,0.03,0.06,0.03,0.04,0.07
孟买猫,0.06,0.08,0.07,0.06,0.04,0.04,0.06,0.09,0.06,0.08,1.0,0.1,0.05,0.06,0.05,0.05,0.08,0.08,0.05,0.05,0.08
暹罗猫,0.05,0.03,0.04,0.05,0.06,0.05,0.06,0.07,0.04,0.04,0.07,1.0,0.06,0.05,0.06,0.06,0.02,0.06,0.03,0.04,0.08
孟加拉豹猫,0.06,0.07,0.04,0.06,0.07,0.06,0.06,0.06,0.04,0.06,0.07,0.05,1.0,0.05,0.06,0.05,0.05,0.06,0.04,0.03,0.05
缅因猫,0.04,0.03,0.01,0.04,0.05,0.06,0.04,0.05,0.04,0.03,0.06,0.05,0.04,1.0,0.03,0.04,0.04,0.05,0.05,0.03,0.06
金吉拉猫,0.07,0.03,0.06,0.08,0.08,0.09,0.06,0.07,0.05,0.04,0.07,0.06,0.07,0.06,1.0,0.08,0.04,0.06,0.06,0.05,0.06
无毛猫,0.05,0.06,0.03,0.06,0.06,0.07,0.05,0.03,0.04,0.05,0.06,0.06,0.05,0.05,0.06,1.0,0.04,0.02,0.06,0.04,0.07
高地折耳猫,0.02,0.05,0.07,0.01,0.06,0.01,0.01,0.1,0.06,0.04,0.07,0.05,0.02,0.02,0.06,0.04,1.0,0.06,0.02,0.05,0.06
曼基康矮脚猫,0.05,0.07,0.06,0.06,0.08,0.07,0.05,0.12,0.05,0.07,0.06,0.05,0.06,0.04,0.05,0.05,0.07,1.0,0.05,0.07,0.07
波斯猫,0.05,0.05,0.04,0.05,0.06,0.06,0.04,0.05,0.04,0.03,0.06,0.04,0.06,0.07,0.05,0.05,0.06,0.04,1.0,0.03,0.04
橘猫,0.03,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.03,0.04,0.02,0.05,0.04,0.06,0.07,0.04,1.0,0.05
阿比西尼亚猫,0.02,0.05,0.08,0.05,0.07,0.07,0.07,0.07,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.07,0.06,0.08,0.04,0.05,1.0
