,布偶猫,加菲猫,金渐层,英短蓝猫,英短蓝白,英国短毛猫,美国短毛猫,苏格兰折耳猫,银渐层,异国短毛猫,孟买猫,暹罗猫,孟加拉豹猫,缅因猫,金吉拉猫,无毛猫,高地折耳猫,曼基康矮脚猫,波斯猫,橘猫,阿比西尼亚猫
布偶猫,100,16,14,15,15,15,17,17,14,16,15,16,16,16,17,16,14,13,16,13,15
加菲猫,16,100,14,18,17,18,18,17,15,69,17,15,16,15,18,16,15,15,16,15,17
金渐层,14,14,100,26,29,28,14,15,24,16,16,14,14,14,16,14,16,13,13,16,16
英短蓝猫,15,18,26,100,31,38,18,17,24,18,16,15,16,15,17,16,16,14,14,15,16
英短蓝白,15,17,29,31,100,84,17,17,23,18,18,15,15,15,16,15,16,15,15,15,17
英国短毛猫,15,18,28,38,84,100,19,18,23,19,18,15,16,16,18,16,16,15,15,14,17
美国短毛猫,17,18,14,18,17,19,100,18,15,18,15,16,16,16,17,16,13,12,17,12,15
苏格兰折耳猫,17,17,15,17,17,18,18,100,15,17,17,16,17,15,18,16,21,17,15,15,17
银渐层,14,15,24,24,23,23,15,15,100,16,14,13,14,14,15,14,14,12,13,14,15
异国短毛猫,16,69,16,18,18,19,18,17,16,100,17,15,16,15,18,16,17,14,16,15,17
孟买猫,15,17,16,16,18,18,15,17,14,17,100,17,16,15,17,14,17,16,14,15,18
暹罗猫,16,15,14,15,15,15,16,16,13,15,17,100,15,15,17,15,14,13,15,12,15
孟加拉豹猫,16,16,14,16,15,16,16,17,14,16,16,15,100,15,17,16,14,14,15,13,16
缅因猫,16,15,14,15,15,16,16,15,14,15,15,15,15,100,15,16,13,12,16,12,16
金吉拉猫,17,18,16,17,16,18,17,18,15,18,17,17,17,15,100,17,15,14,16,14,17
无毛猫,16,16,14,16,15,16,16,16,14,16,14,15,16,16,17,100,15,12,16,12,16
高地折耳猫,14,15,16,16,16,16,13,21,14,17,17,14,14,13,15,15,100,16,13,16,16
曼基康矮脚猫,13,15,13,14,15,15,12,17,12,14,16,13,14,12,14,12,16,100,11,17,15
波斯猫,16,16,13,14,15,15,17,15,13,16,14,15,15,16,16,16,13,11,100,11,14
橘猫,13,15,16,15,15,14,12,15,14,15,15,12,13,12,14,12,16,17,11,100,16
阿比西尼亚猫,15,17,16,16,17,17,15,17,15,17,18,15,16,16,17,16,16,15,14,16,100
