,布偶猫,加菲猫,金渐层,英短蓝猫,英短蓝白,英国短毛猫,美国短毛猫,苏格兰折耳猫,银渐层,异国短毛猫,孟买猫,暹罗猫,孟加拉豹猫,缅因猫,金吉拉猫,无毛猫,高地折耳猫,曼基康矮脚猫,波斯猫,橘猫,阿比西尼亚猫
布偶猫,1.0,0.78,0.68,0.75,0.76,0.72,0.8,0.76,0.67,0.78,0.73,0.75,0.78,0.73,0.79,0.79,0.69,0.73,0.82,0.78,0.73
加菲猫,0.78,1.0,0.68,0.86,0.85,0.86,0.87,0.77,0.72,0.97,0.75,0.74,0.77,0.75,0.77,0.81,0.68,0.75,0.85,0.77,0.72
金渐层,0.68,0.68,1.0,0.74,0.75,0.72,0.72,0.7,0.85,0.72,0.74,0.67,0.73,0.7,0.76,0.69,0.6,0.62,0.77,0.69,0.73
英短蓝猫,0.75,0.86,0.74,1.0,0.92,0.93,0.87,0.76,0.78,0.88,0.75,0.72,0.77,0.72,0.76,0.78,0.67,0.72,0.81,0.75,0.72
英短蓝白,0.76,0.85,0.75,0.92,1.0,0.97,0.85,0.76,0.78,0.86,0.75,0.74,0.76,0.74,0.77,0.79,0.67,0.72,0.82,0.75,0.72
英国短毛猫,0.72,0.86,0.72,0.93,0.97,1.0,0.85,0.75,0.78,0.88,0.75,0.73,0.74,0.75,0.74,0.78,0.66,0.71,0.8,0.72,0.71
美国短毛猫,0.8,0.87,0.72,0.87,0.85,0.85,1.0,0.79,0.74,0.89,0.77,0.75,0.8,0.75,0.8,0.81,0.69,0.74,0.83,0.78,0.73
苏格兰折耳猫,0.76,0.77,0.7,0.76,0.76,0.75,0.79,1.0,0.66,0.79,0.73,0.73,0.77,0.71,0.77,0.78,0.85,0.72,0.81,0.74,0.73
银渐层,0.67,0.72,0.85,0.78,0.78,0.78,0.74,0.66,1.0,0.74,0.72,0.67,0.7,0.73,0.72,0.7,0.57,0.61,0.75,0.67,0.69
异国短毛猫,0.78,0.97,0.72,0.88,0.86,0.88,0.89,0.79,0.74,1.0,0.78,0.74,0.77,0.74,0.78,0.8,0.71,0.75,0.84,0.77,0.73
孟买猫,0.73,0.75,0.74,0.75,0.75,0.75,0.77,0.73,0.72,0.78,1.0,0.74,0.81,0.75,0.75,0.73,0.65,0.69,0.8,0.71,0.74
暹罗猫,0.75,0.74,0.67,0.72,0.74,0.73,0.75,0.73,0.67,0.74,0.74,1.0,0.75,0.74,0.75,0.75,0.67,0.7,0.8,0.69,0.73
孟加拉豹猫,0.78,0.77,0.73,0.77,0.76,0.74,0.8,0.77,0.7,0.77,0.81,0.75,1.0,0.74,0.82,0.76,0.66,0.75,0.83,0.76,0.76
缅因猫,0.73,0.75,0.7,0.72,0.74,0.75,0.75,0.71,0.73,0.74,0.75,0.74,0.74,1.0,0.71,0.77,0.65,0.68,0.81,0.69,0.73
金吉拉猫,0.79,0.77,0.76,0.76,0.77,0.74,0.8,0.77,0.72,0.78,0.75,0.75,0.82,0.71,1.0,0.79,0.69,0.73,0.86,0.76,0.75
无毛猫,0.79,0.81,0.69,0.78,0.79,0.78,0.81,0.78,0.7,0.8,0.73,0.75,0.76,0.77,0.79,1.0,0.72,0.71,0.84,0.76,0.72
高地折耳猫,0.69,0.68,0.6,0.67,0.67,0.66,0.69,0.85,0.57,0.71,0.65,0.67,0.66,0.65,0.69,0.72,1.0,0.63,0.73,0.65,0.63
曼基康矮脚猫,0.73,0.75,0.62,0.72,0.72,0.71,0.74,0.72,0.61,0.75,0.69,0.7,0.75,0.68,0.73,0.71,0.63,1.0,0.77,0.7,0.68
波斯猫,0.82,0.85,0.77,0.81,0.82,0.8,0.83,0.81,0.75,0.84,0.8,0.8,0.83,0.81,0.86,0.84,0.73,0.77,1.0,0.79,0.8
橘猫,0.78,0.77,0.69,0.75,0.75,0.72,0.78,0.74,0.67,0.77,0.71,0.69,0.76,0.69,0.76,0.76,0.65,0.7,0.79,1.0,0.72
阿比西尼亚猫,0.73,0.72,0.73,0.72,0.72,0.71,0.73,0.73,0.69,0.73,0.74,0.73,0.76,0.73,0.75,0.72,0.63,0.68,0.8,0.72,1.0
