,布偶猫,加菲猫,金渐层,英短蓝猫,英短蓝白,英国短毛猫,美国短毛猫,苏格兰折耳猫,银渐层,异国短毛猫,孟买猫,暹罗猫,孟加拉豹猫,缅因猫,金吉拉猫,无毛猫,高地折耳猫,曼基康矮脚猫,波斯猫,橘猫,阿比西尼亚猫
布偶猫,0.0,79.0,100.0,79.0,76.0,79.0,79.0,80.0,89.0,80.0,89.0,78.0,80.0,78.0,80.0,77.0,87.0,97.0,76.0,89.0,80.0
加菲猫,79.0,0.0,59.0,39.0,31.0,33.0,94.0,55.0,75.0,17.0,48.0,52.0,67.0,70.0,56.0,69.0,50.0,60.0,90.0,52.0,50.0
金渐层,100.0,59.0,0.0,49.0,37.0,40.0,100.0,56.0,34.0,51.0,37.0,53.0,85.0,88.0,71.0,95.0,45.0,54.0,136.0,46.0,37.0
英短蓝猫,79.0,39.0,49.0,0.0,29.0,22.0,83.0,53.0,73.0,39.0,44.0,52.0,67.0,68.0,56.0,70.0,61.0,71.0,102.0,63.0,50.0
英短蓝白,76.0,31.0,37.0,29.0,0.0,16.0,112.0,53.0,70.0,33.0,31.0,52.0,75.0,65.0,56.0,70.0,44.0,42.0,108.0,35.0,39.0
英国短毛猫,79.0,33.0,40.0,22.0,16.0,0.0,104.0,52.0,68.0,33.0,39.0,52.0,67.0,63.0,56.0,70.0,44.0,50.0,107.0,42.0,42.0
美国短毛猫,79.0,94.0,100.0,83.0,112.0,104.0,0.0,70.0,96.0,80.0,127.0,106.0,67.0,84.0,70.0,70.0,144.0,154.0,71.0,146.0,101.0
苏格兰折耳猫,80.0,55.0,56.0,53.0,53.0,52.0,70.0,0.0,76.0,52.0,60.0,52.0,67.0,71.0,56.0,78.0,77.0,87.0,80.0,79.0,52.0
银渐层,89.0,75.0,34.0,73.0,70.0,68.0,96.0,76.0,0.0,81.0,60.0,51.0,74.0,77.0,61.0,84.0,78.0,77.0,125.0,72.0,50.0
异国短毛猫,80.0,17.0,51.0,39.0,33.0,33.0,80.0,52.0,81.0,0.0,47.0,54.0,67.0,76.0,56.0,70.0,64.0,74.0,93.0,66.0,52.0
孟买猫,89.0,48.0,37.0,44.0,31.0,39.0,127.0,60.0,60.0,47.0,0.0,52.0,90.0,77.0,68.0,84.0,46.0,28.0,125.0,35.0,38.0
暹罗猫,78.0,52.0,53.0,52.0,52.0,52.0,106.0,52.0,51.0,54.0,52.0,0.0,69.0,63.0,56.0,85.0,51.0,52.0,102.0,52.0,50.0
孟加拉豹猫,80.0,67.0,85.0,67.0,75.0,67.0,67.0,67.0,74.0,67.0,90.0,69.0,0.0,67.0,67.0,77.0,107.0,117.0,67.0,109.0,67.0
缅因猫,78.0,70.0,88.0,68.0,65.0,63.0,84.0,71.0,77.0,76.0,77.0,63.0,67.0,0.0,60.0,69.0,73.0,75.0,80.0,75.0,59.0
金吉拉猫,80.0,56.0,71.0,56.0,56.0,56.0,70.0,56.0,61.0,56.0,68.0,56.0,67.0,60.0,0.0,85.0,85.0,95.0,65.0,87.0,56.0
无毛猫,77.0,69.0,95.0,70.0,70.0,70.0,70.0,78.0,84.0,70.0,84.0,85.0,77.0,69.0,85.0,0.0,85.0,95.0,68.0,87.0,86.0
高地折耳猫,87.0,50.0,45.0,61.0,44.0,44.0,144.0,77.0,78.0,64.0,46.0,51.0,107.0,73.0,85.0,85.0,0.0,49.0,140.0,50.0,44.0
曼基康矮脚猫,97.0,60.0,54.0,71.0,42.0,50.0,154.0,87.0,77.0,74.0,28.0,52.0,117.0,75.0,95.0,95.0,49.0,0.0,150.0,35.0,53.0
波斯猫,76.0,90.0,136.0,102.0,108.0,107.0,71.0,80.0,125.0,93.0,125.0,102.0,67.0,80.0,65.0,68.0,140.0,150.0,0.0,142.0,99.0
橘猫,89.0,52.0,46.0,63.0,35.0,42.0,146.0,79.0,72.0,66.0,35.0,52.0,109.0,75.0,87.0,87.0,50.0,35.0,142.0,0.0,45.0
阿比西尼亚猫,80.0,50.0,37.0,50.0,39.0,42.0,101.0,52.0,50.0,52.0,38.0,50.0,67.0,59.0,56.0,86.0,44.0,53.0,99.0,45.0,0.0
