,布偶猫,加菲猫,金渐层,英短蓝猫,英短蓝白,英国短毛猫,美国短毛猫,苏格兰折耳猫,银渐层,异国短毛猫,孟买猫,暹罗猫,孟加拉豹猫,缅因猫,金吉拉猫,无毛猫,高地折耳猫,曼基康矮脚猫,波斯猫,橘猫,阿比西尼亚猫
布偶猫,0.0,2523.0,2767.0,2598.0,2605.0,2662.0,2618.0,2553.0,2772.0,2534.0,2710.0,2714.0,2546.0,2956.0,2367.0,2669.0,2748.0,2751.0,2988.0,2708.0,2745.0
加菲猫,2523.0,0.0,2026.0,1691.0,1670.0,1679.0,2609.0,1958.0,2005.0,577.0,1799.0,2413.0,2435.0,2511.0,2120.0,2512.0,1975.0,1924.0,2993.0,1851.0,2006.0
金渐层,2767.0,2026.0,0.0,1675.0,1532.0,1669.0,3019.0,2068.0,1567.0,1981.0,1617.0,2451.0,2421.0,2529.0,2102.0,2704.0,1615.0,1658.0,3199.0,1511.0,1664.0
英短蓝猫,2598.0,1691.0,1675.0,0.0,1257.0,1204.0,2648.0,2045.0,1768.0,1642.0,1806.0,2452.0,2420.0,2514.0,2213.0,2687.0,1866.0,1787.0,3144.0,1710.0,1879.0
英短蓝白,2605.0,1670.0,1532.0,1257.0,0.0,463.0,2681.0,1992.0,1661.0,1721.0,1667.0,2389.0,2499.0,2513.0,2188.0,2604.0,1753.0,1670.0,3085.0,1575.0,1808.0
英国短毛猫,2662.0,1679.0,1669.0,1204.0,463.0,0.0,2634.0,2021.0,1738.0,1672.0,1718.0,2400.0,2506.0,2418.0,2225.0,2587.0,1874.0,1785.0,3062.0,1752.0,1859.0
美国短毛猫,2618.0,2609.0,3019.0,2648.0,2681.0,2634.0,0.0,2733.0,2926.0,2546.0,3010.0,2926.0,2718.0,3074.0,2535.0,2767.0,3132.0,3159.0,2848.0,3052.0,3015.0
苏格兰折耳猫,2553.0,1958.0,2068.0,2045.0,1992.0,2021.0,2733.0,0.0,2251.0,1929.0,2033.0,2445.0,2421.0,2691.0,2120.0,2544.0,1819.0,2088.0,3067.0,1967.0,2156.0
银渐层,2772.0,2005.0,1567.0,1768.0,1661.0,1738.0,2926.0,2251.0,0.0,1960.0,1878.0,2566.0,2580.0,2654.0,2309.0,2747.0,2062.0,2003.0,3214.0,1870.0,2029.0
异国短毛猫,2534.0,577.0,1981.0,1642.0,1721.0,1672.0,2546.0,1929.0,1960.0,0.0,1830.0,2404.0,2420.0,2518.0,2109.0,2537.0,1954.0,1997.0,2886.0,1932.0,2013.0
孟买猫,2710.0,1799.0,1617.0,1806.0,1667.0,1718.0,3010.0,2033.0,1878.0,1830.0,0.0,2298.0,2344.0,2398.0,2251.0,2785.0,1456.0,1371.0,3320.0,1318.0,1617.0
暹罗猫,2714.0,2413.0,2451.0,2452.0,2389.0,2400.0,2926.0,2445.0,2566.0,2404.0,2298.0,0.0,2622.0,2768.0,2439.0,2775.0,2466.0,2469.0,3122.0,2472.0,2339.0
孟加拉豹猫,2546.0,2435.0,2421.0,2420.0,2499.0,2506.0,2718.0,2421.0,2580.0,2420.0,2344.0,2622.0,0.0,2802.0,2267.0,2803.0,2594.0,2577.0,2978.0,2538.0,2453.0
缅因猫,2956.0,2511.0,2529.0,2514.0,2513.0,2418.0,3074.0,2691.0,2654.0,2518.0,2398.0,2768.0,2802.0,0.0,2803.0,2863.0,2588.0,2685.0,3096.0,2620.0,2505.0
金吉拉猫,2367.0,2120.0,2102.0,2213.0,2188.0,2225.0,2535.0,2120.0,2309.0,2109.0,2251.0,2439.0,2267.0,2803.0,0.0,2438.0,2285.0,2378.0,2725.0,2259.0,2270.0
无毛猫,2669.0,2512.0,2704.0,2687.0,2604.0,2587.0,2767.0,2544.0,2747.0,2537.0,2785.0,2775.0,2803.0,2863.0,2438.0,0.0,2797.0,2914.0,2921.0,2787.0,2752.0
高地折耳猫,2748.0,1975.0,1615.0,1866.0,1753.0,1874.0,3132.0,1819.0,2062.0,1954.0,1456.0,2466.0,2594.0,2588.0,2285.0,2797.0,0.0,1235.0,3444.0,1154.0,1743.0
曼基康矮脚猫,2751.0,1924.0,1658.0,1787.0,1670.0,1785.0,3159.0,2088.0,2003.0,1997.0,1371.0,2469.0,2577.0,2685.0,2378.0,2914.0,1235.0,0.0,3601.0,1037.0,1684.0
波斯猫,2988.0,2993.0,3199.0,3144.0,3085.0,3062.0,2848.0,3067.0,3214.0,2886.0,3320.0,3122.0,2978.0,3096.0,2725.0,2921.0,3444.0,3601.0,0.0,3554.0,3273.0
橘猫,2708.0,1851.0,1511.0,1710.0,1575.0,1752.0,3052.0,1967.0,1870.0,1932.0,1318.0,2472.0,2538.0,2620.0,2259.0,2787.0,1154.0,1037.0,3554.0,0.0,1553.0
阿比西尼亚猫,2745.0,2006.0,1664.0,1879.0,1808.0,1859.0,3015.0,2156.0,2029.0,2013.0,1617.0,2339.0,2453.0,2505.0,2270.0,2752.0,1743.0,1684.0,3273.0,1553.0,0.0
