,布偶猫,加菲猫,金渐层,英短蓝猫,英短蓝白,英国短毛猫,美国短毛猫,苏格兰折耳猫,银渐层,异国短毛猫,孟买猫,暹罗猫,孟加拉豹猫,缅因猫,金吉拉猫,无毛猫,高地折耳猫,曼基康矮脚猫,波斯猫,橘猫,阿比西尼亚猫
布偶猫,0.0,0.91,0.93,0.91,0.91,0.91,0.9,0.91,0.91,0.91,0.92,0.91,0.92,0.9,0.89,0.91,0.93,0.92,0.92,0.94,0.93
加菲猫,0.91,0.0,0.91,0.9,0.88,0.88,0.92,0.91,0.91,0.49,0.9,0.91,0.89,0.91,0.88,0.91,0.94,0.91,0.91,0.93,0.91
金渐层,0.93,0.91,0.0,0.88,0.85,0.85,0.93,0.92,0.89,0.91,0.91,0.93,0.94,0.91,0.92,0.92,0.92,0.92,0.94,0.93,0.91
英短蓝猫,0.91,0.9,0.88,0.0,0.85,0.82,0.9,0.91,0.88,0.89,0.93,0.93,0.9,0.9,0.91,0.93,0.92,0.91,0.93,0.93,0.91
英短蓝白,0.91,0.88,0.85,0.85,0.0,0.4,0.9,0.92,0.88,0.91,0.91,0.92,0.93,0.91,0.91,0.9,0.94,0.91,0.93,0.94,0.89
英国短毛猫,0.91,0.88,0.85,0.82,0.4,0.0,0.9,0.9,0.88,0.89,0.9,0.91,0.92,0.89,0.88,0.89,0.93,0.9,0.92,0.92,0.9
美国短毛猫,0.9,0.92,0.93,0.9,0.9,0.9,0.0,0.9,0.91,0.91,0.93,0.9,0.92,0.92,0.89,0.9,0.95,0.94,0.9,0.95,0.91
苏格兰折耳猫,0.91,0.91,0.92,0.91,0.92,0.9,0.9,0.0,0.9,0.91,0.91,0.89,0.91,0.92,0.88,0.91,0.92,0.91,0.89,0.94,0.92
银渐层,0.91,0.91,0.89,0.88,0.88,0.88,0.91,0.9,0.0,0.89,0.91,0.92,0.92,0.93,0.91,0.91,0.93,0.92,0.94,0.93,0.9
异国短毛猫,0.91,0.49,0.91,0.89,0.91,0.89,0.91,0.91,0.89,0.0,0.91,0.9,0.9,0.91,0.89,0.92,0.94,0.92,0.91,0.93,0.91
孟买猫,0.92,0.9,0.91,0.93,0.91,0.9,0.93,0.91,0.91,0.91,0.0,0.91,0.92,0.91,0.91,0.93,0.94,0.9,0.94,0.9,0.91
暹罗猫,0.91,0.91,0.93,0.93,0.92,0.91,0.9,0.89,0.92,0.9,0.91,0.0,0.91,0.91,0.9,0.92,0.94,0.93,0.91,0.94,0.91
孟加拉豹猫,0.92,0.89,0.94,0.9,0.93,0.92,0.92,0.91,0.92,0.9,0.92,0.91,0.0,0.92,0.89,0.93,0.93,0.94,0.92,0.94,0.9
缅因猫,0.9,0.91,0.91,0.9,0.91,0.89,0.92,0.92,0.93,0.91,0.91,0.91,0.92,0.0,0.9,0.91,0.94,0.93,0.91,0.95,0.91
金吉拉猫,0.89,0.88,0.92,0.91,0.91,0.88,0.89,0.88,0.91,0.89,0.91,0.9,0.89,0.9,0.0,0.9,0.93,0.91,0.88,0.92,0.92
无毛猫,0.91,0.91,0.92,0.93,0.9,0.89,0.9,0.91,0.91,0.92,0.93,0.92,0.93,0.91,0.9,0.0,0.94,0.94,0.91,0.95,0.92
高地折耳猫,0.93,0.94,0.92,0.92,0.94,0.93,0.95,0.92,0.93,0.94,0.94,0.94,0.93,0.94,0.93,0.94,0.0,0.91,0.96,0.93,0.92
曼基康矮脚猫,0.92,0.91,0.92,0.91,0.91,0.9,0.94,0.91,0.92,0.92,0.9,0.93,0.94,0.93,0.91,0.94,0.91,0.0,0.94,0.9,0.91
波斯猫,0.92,0.91,0.94,0.93,0.93,0.92,0.9,0.89,0.94,0.91,0.94,0.91,0.92,0.91,0.88,0.91,0.96,0.94,0.0,0.96,0.92
橘猫,0.94,0.93,0.93,0.93,0.94,0.92,0.95,0.94,0.93,0.93,0.9,0.94,0.94,0.95,0.92,0.95,0.93,0.9,0.96,0.0,0.93
阿比西尼亚猫,0.93,0.91,0.91,0.91,0.89,0.9,0.91,0.92,0.9,0.91,0.91,0.91,0.9,0.91,0.92,0.92,0.92,0.91,0.92,0.93,0.0
