,布偶猫,加菲猫,金渐层,英短蓝猫,英短蓝白,英国短毛猫,美国短毛猫,苏格兰折耳猫,银渐层,异国短毛猫,孟买猫,暹罗猫,孟加拉豹猫,缅因猫,金吉拉猫,无毛猫,高地折耳猫,曼基康矮脚猫,波斯猫,橘猫,阿比西尼亚猫
布偶猫,0.0,186.94,217.82,197.98,201.83,207.02,198.66,191.12,219.03,187.25,218.55,193.78,189.69,208.52,181.14,188.28,225.5,236.89,199.55,222.88,205.63
加菲猫,186.94,0.0,152.72,104.9,107.48,103.24,176.84,145.71,152.76,50.45,135.72,149.52,176.74,173.31,159.22,172.23,149.52,148.36,206.29,140.36,145.49
金渐层,217.82,152.72,0.0,132.49,115.92,129.26,234.29,160.22,107.98,146.71,112.81,157.39,191.73,189.09,162.18,211.06,136.99,131.14,243.64,121.38,127.19
英短蓝猫,197.98,104.9,132.49,0.0,74.83,69.46,182.69,147.18,133.41,98.7,127.62,150.54,179.42,181.16,162.06,184.39,143.37,141.26,225.02,133.21,138.0
英短蓝白,201.83,107.48,115.92,74.83,0.0,42.74,204.67,145.55,129.01,106.48,107.04,141.1,186.95,178.43,161.39,187.97,123.05,115.36,233.79,109.44,127.07
英国短毛猫,207.02,103.24,129.26,69.46,42.74,0.0,195.09,149.07,130.58,100.85,117.18,146.03,188.75,174.42,167.19,185.01,134.88,131.14,231.86,126.81,135.84
美国短毛猫,198.66,176.84,234.29,182.69,204.67,195.09,0.0,201.78,219.65,168.2,238.18,216.68,196.66,216.13,196.13,191.06,252.74,264.29,197.99,251.71,228.39
苏格兰折耳猫,191.12,145.71,160.22,147.18,145.55,149.07,201.78,0.0,178.26,139.86,156.91,160.36,177.15,190.28,161.06,181.26,132.93,172.39,211.24,163.68,153.58
银渐层,219.03,152.76,107.98,133.41,129.01,130.58,219.65,178.26,0.0,149.27,143.97,169.87,196.83,180.12,175.86,206.44,169.58,167.04,238.08,157.24,153.94
异国短毛猫,187.25,50.45,146.71,98.7,106.48,100.85,168.2,139.86,149.27,0.0,134.42,151.29,176.1,178.22,155.8,175.88,148.66,153.03,206.1,144.19,145.34
孟买猫,218.55,135.72,112.81,127.62,107.04,117.18,238.18,156.91,143.97,134.42,0.0,143.19,188.84,186.1,174.19,213.68,108.96,93.76,256.23,92.23,119.16
暹罗猫,193.78,149.52,157.39,150.54,141.1,146.03,216.68,160.36,169.87,151.29,143.19,0.0,183.11,177.75,167.35,190.99,156.82,160.42,218.59,157.68,145.24
孟加拉豹猫,189.69,176.74,191.73,179.42,186.95,188.75,196.66,177.15,196.83,176.1,188.84,183.11,0.0,196.14,159.67,195.21,215.04,218.01,194.19,209.45,182.15
缅因猫,208.52,173.31,189.09,181.16,178.43,174.42,216.13,190.28,180.12,178.22,186.1,177.75,196.14,0.0,196.02,189.28,203.02,211.41,206.21,204.47,180.8
金吉拉猫,181.14,159.22,162.18,162.06,161.39,167.19,196.13,161.06,175.86,155.8,174.19,167.35,159.67,196.02,0.0,179.96,185.31,193.21,186.91,182.92,165.67
无毛猫,188.28,172.23,211.06,184.39,187.97,185.01,191.06,181.26,206.44,175.88,213.68,190.99,195.21,189.28,179.96,0.0,214.99,232.67,190.7,220.69,203.24
高地折耳猫,225.5,149.52,136.99,143.37,123.05,134.88,252.74,132.93,169.58,148.66,108.96,156.82,215.04,203.02,185.31,214.99,0.0,101.34,269.05,100.89,138.05
曼基康矮脚猫,236.89,148.36,131.14,141.26,115.36,131.14,264.29,172.39,167.04,153.03,93.76,160.42,218.01,211.41,193.21,232.67,101.34,0.0,284.79,76.07,133.27
波斯猫,199.55,206.29,243.64,225.02,233.79,231.86,197.99,211.24,238.08,206.1,256.23,218.59,194.19,206.21,186.91,190.7,269.05,284.79,0.0,274.87,233.08
橘猫,222.88,140.36,121.38,133.21,109.44,126.81,251.71,163.68,157.24,144.19,92.23,157.68,209.45,204.47,182.92,220.69,100.89,76.07,274.87,0.0,125.29
阿比西尼亚猫,205.63,145.49,127.19,138.0,127.07,135.84,228.39,153.58,153.94,145.34,119.16,145.24,182.15,180.8,165.67,203.24,138.05,133.27,233.08,125.29,0.0
